Breakfast1,Breakfast2,Breakfast3,Breakfast4,Breakfast5,Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5,Score
steamed mung bean rice (40),tofu clam soup,seasoned herbs with aubergine,steamed mandu (dumpling),perilla leaf kimchi,S_walnut milk,S_raisin potato bowl,steamed pearl barley rice,potato onion soup,stir-fried zucchini and carrot,seasoned salad with lettuce in yuzu marinade,kohlrabi watery kimchi,S_mini udon (white wheat noodles),S_black sesame soy milk (150ml),curried rice with Saesongyi mushroom,assorted mushroom stew,roasted smoked duck and stir-fried vegetables,tomato caprese salad,summer radish watery kimchi,1
steamed mung bean rice (40),tofu clam soup,seasoned herbs with aubergine,tomato caprese salad,summer radish watery kimchi,S_raisin potato bowl,S_walnut milk,curried rice with Saesongyi mushroom,potato onion soup,steamed mandu (dumpling),seasoned salad with lettuce in yuzu marinade,kohlrabi watery kimchi,S_mini udon (white wheat noodles),S_black sesame soy milk (150ml),steamed pearl barley rice,assorted mushroom stew,roasted smoked duck and stir-fried vegetables,stir-fried zucchini and carrot,perilla leaf kimchi,3
steamed mung bean rice (40),tofu clam soup,rolled omelette with tuna,tomato caprese salad,summer radish watery kimchi,S_tangerine,S_Yakult,curried rice with Saesongyi mushroom,empty,steamed mandu (dumpling),seasoned salad with lettuce in yuzu marinade,kohlrabi watery kimchi,S_pancake,S_black sesame soy milk (100ml),steamed pearl barley rice,assorted mushroom stew,roasted smoked duck and stir-fried vegetables,stir-fried zucchini and carrot,perilla leaf kimchi,5
steamed sweet rice,seaweed mandu (dumpling) soup,seasoned oyster mushroom,seasoned salad with spicy bean sprout,sweet radish kimchi,S_potato raisin salad,S_rice punch,Japanese beef rice bowl (gyudon),oyster mushroom soup,daikon and pear salad,steamed eggs with sweet pumpkin,radish kimchi cubes,S_sweet potato shake,S_seaweed beef porridge,steamed chestnut red bean sweet rice (30),zucchini salted shrimp soup,seasoned fuki stem and perilla seed,seasoned salad with winter cabbage,summer radish kimchi,1
steamed chestnut red bean sweet rice (30),zucchini salted shrimp soup,steamed eggs with sweet pumpkin,seasoned oyster mushroom,sweet radish kimchi,S_seaweed beef porridge,S_rice punch,Japanese beef rice bowl (gyudon),oyster mushroom soup,seasoned salad with spicy bean sprout,daikon and pear salad,radish kimchi cubes,S_potato raisin salad,S_sweet potato shake,steamed sweet rice,seaweed mandu (dumpling) soup,seasoned fuki stem and perilla seed,seasoned salad with winter cabbage,summer radish kimchi,4
steamed chestnut red bean sweet rice (40),zucchini salted shrimp soup,steamed eggs with sweet pumpkin,daikon and pear salad,sweet radish kimchi,empty,S_sweet potato shake,Japanese beef rice bowl (gyudon),oyster mushroom soup,seasoned salad with bean sprout,egg salad,radish kimchi cubes,S_fried pancake,S_green plum tea,steamed sweet rice,seaweed mandu (dumpling) soup,steamed pork rib,seasoned salad with winter cabbage,summer radish kimchi,5
stir-fried rice with cherry tomato and shrimp,napa cabbage soup,sweet potato mattang,stir-fried soft crab and vegetables,radish watery kimchi,S_milk (150ml),S_rice-based beverage,steamed chestnut rice (40),mushroom stew,pan-fried mushroom,steamed eggs with soft crab,pickled beet,S_cheese porridge,S_cucumber carrot stick,steamed mung bean rice,red bean porridge,stir-fried zucchini,stir-fried chicken in soy sauce without bones,cucumber kimchi,1
steamed chestnut rice (40),red bean porridge,steamed eggs with soft crab,stir-fried soft crab and vegetables,radish watery kimchi,S_cheese porridge,S_rice-based beverage,stir-fried rice with cherry tomato and shrimp,napa cabbage soup,sweet potato mattang,stir-fried zucchini,pickled beet,S_cucumber carrot stick,S_milk (150ml),steamed mung bean rice,mushroom stew,stir-fried chicken in soy sauce without bones,pan-fried mushroom,cucumber kimchi,4
steamed chestnut rice,Maesaengyi soup,steamed eggs with corn,stir-fried soft crab and vegetables,radish watery kimchi,S_strawberry jam bread,S_soy milk (150ml),stir-fried rice with cherry tomato and shrimp,fried tofu crown daisy soup,sweet potato mattang,banana apple kiwi salad,pickled beet,S_cucumber carrot stick,S_milk (200ml),steamed mung bean rice,mushroom stew,stir-fried chicken in soy sauce without bones,pan-fried mushroom,cucumber kimchi,5
steamed pearl barley rice,clam soy paste soup,stir-fried potato and paprika,braised Korean kebab in soy sauce,whole radish kimchi,S_orange juice (sugar-free),S_walnut milk,steamed sweet rice (30),shepherd's purse bean sprout soy paste soup,fresh kimchi with chicory,steamed eggs,radish kimchi cubes,S_burdock rice ball,S_macaroni and vegetables salad,steamed red bean sweet rice,potato soup,seasoned winter cabbage,seasoned salad with spring parsley in soy sauce,kohlrabi watery kimchi,1
steamed sweet rice (30),shepherd's purse bean sprout soy paste soup,stir-fried potato and paprika,fresh kimchi with chicory,whole radish kimchi,S_burdock rice ball,S_orange juice (sugar-free),steamed pearl barley rice,clam soy paste soup,steamed eggs,seasoned winter cabbage,radish kimchi cubes,S_macaroni and vegetables salad,S_walnut milk,steamed red bean sweet rice,potato soup,braised Korean kebab in soy sauce,seasoned salad with spring parsley in soy sauce,kohlrabi watery kimchi,3
steamed sweet rice,shepherd's purse bean sprout soy paste soup,steamed eggs,fresh kimchi with chicory,whole radish kimchi,empty,S_walnut milk,steamed pearl barley rice,clam soy paste soup,braised halibut in soy sauce,seasoned winter cabbage,radish kimchi cubes,S_macaroni and vegetables salad,S_orange juice (sugar-free),steamed red bean sweet rice,potato soup,braised Korean kebab in soy sauce,seasoned salad with spring parsley in soy sauce,kohlrabi watery kimchi,5
paprika rice ball with fried tofu,mandu (dumpling) chicken stew,stir-fried jukkumi and,stir-fried spicy jukkumi,cucumber kimchi,S_beef burdock porridge,S_raisin potato bowl,steamed red bean rice (30),mandu (dumpling) soup,seasoned salad with deodeok and apple,braised cutlassfish,pickled beet,S_sweet pumpkin rice punch,S_milk (100ml),steamed sweet rice (add),seaweed mandu (dumpling) soup,sedum and black sesame salad,empty,summer radish watery kimchi,1
steamed red bean rice (30),seaweed mandu (dumpling) soup,stir-fried jukkumi and,sedum and black sesame salad,cucumber kimchi,S_beef burdock porridge,S_sweet pumpkin rice punch,paprika rice ball with fried tofu,mandu (dumpling) soup,braised cutlassfish,seasoned salad with deodeok and apple,pickled beet,S_raisin potato bowl,S_milk (100ml),steamed sweet rice (add),mandu (dumpling) chicken stew,stir-fried spicy jukkumi,empty,summer radish watery kimchi,3
steamed red bean rice,beef seaweed soup,braised tofu in teriyaki sauce,sedum and black sesame salad,cucumber kimchi,S_milk bread roll + strawberry jam,S_milk (100ml),paprika rice ball with fried tofu,fried fish paste soup,potato croquette,yoghurt fruit mix,pickled beet,S_cherry tomato (70g),S_Yakult,steamed sweet rice,mandu (dumpling) chicken stew,stir-fried spicy jukkumi,seasoned chard,summer radish watery kimchi,5
steamed black rice (add),mandu (dumpling) soft tofu stew,braised spicy chicken,stir-fried chicken in soy paste without bones,radish watery kimchi,S_tofu vegetable porridge,S_soft tofu salad (oriental dressing),steamed sweet potato rice (40),potato zucchini soup,braised beef shank in soy sauce,braised mini-potato,radish kimchi cubes,S_black sesame soy milk (200ml),S_sweet potato shake,steamed white rice (add),perilla seed potato soup,cucumber and tomato salad (balsamic vinegar dressing),salted dried sea lettuce,whole radish kimchi,1
steamed white rice (add),potato zucchini soup,braised beef shank in soy sauce,cucumber and tomato salad (balsamic vinegar dressing),radish watery kimchi,S_tofu vegetable porridge,S_black sesame soy milk (200ml),steamed sweet potato rice (40),mandu (dumpling) soft tofu stew,stir-fried chicken in soy paste without bones,braised mini-potato,radish kimchi cubes,S_soft tofu salad (oriental dressing),S_sweet potato shake,steamed black rice (add),perilla seed potato soup,braised spicy chicken,salted dried sea lettuce,whole radish kimchi,4
steamed white rice,potato zucchini soup,braised beef shank in soy sauce,cucumber and tomato salad (balsamic vinegar dressing),radish watery kimchi,empty,S_black sesame soy milk (200ml),steamed sweet potato rice,soft tofu stew,stir-fried chicken in soy paste without bones,braised mini-potato,radish kimchi cubes,S_scrambled eggs with vegetables,S_mango juice,steamed black rice,perilla seed potato soup,braised spicy chicken,salted dried sea lettuce,whole radish kimchi,5
steamed chestnut bean rice (30),bean sprout beef stew,braised anchovy and sweet napa cabbage,seasoned salad with deodeok and apple,summer radish watery kimchi,S_beef burdock porridge,S_rice-based beverage,steamed pearl barley rice,mandu (dumpling) soup,roasted aubergine,seasoned salad with aubergine,cucumber kimchi,S_milk (100ml),S_potato yoghurt salad,paprika rice ball with fried tofu,zucchini tofu soy paste soup,dried radish,vegetables croquette,pickled beet,1
paprika rice ball with fried tofu,zucchini tofu soy paste soup,braised anchovy and sweet napa cabbage,dried radish,pickled beet,S_beef burdock porridge,S_milk (100ml),steamed chestnut bean rice (30),mandu (dumpling) soup,vegetables croquette,seasoned salad with aubergine,cucumber kimchi,S_potato yoghurt salad,S_rice-based beverage,steamed pearl barley rice,bean sprout beef stew,roasted aubergine,seasoned salad with deodeok and apple,summer radish watery kimchi,3
paprika rice ball with fried tofu,winter mushroom soy paste soup,braised black beans,sweet pumpkin salad,pickled beet,S_pineapple,S_yoghurt (100ml),steamed chestnut bean rice,cod soup,braised chicken drumsticks in sauce,seasoned salad with aubergine,cucumber kimchi,S_pounded rice cake,S_milk (100ml),steamed pearl barley rice,bean sprout beef stew,roasted pork,seasoned salad with deodeok and apple,summer radish watery kimchi,5
steamed millet rice (30),kimchi soup,seasoned salad with garlic stem,seasoned perilla leaf,radish kimchi cubes,S_homestyle banana milk,S_sesame sweet potato porridge,steamed corn rice,fried tofu soy paste soup,seasoned winter cabbage,Chuncheon-style stir-fried chicken,pickled daikon,S_macaroni and vegetables salad,S_hot chocolate,deluxe rice with Pyogo mushroom and chwinamul,mushroom chive soup,seasoned salad with spring parsley,scrambled eggs with soft crab,whole radish kimchi,1
steamed millet rice (30),fried tofu soy paste soup,scrambled eggs with soft crab,seasoned salad with garlic stem,radish kimchi cubes,S_sesame sweet potato porridge,S_hot chocolate,steamed corn rice,mushroom chive soup,Chuncheon-style stir-fried chicken,seasoned winter cabbage,pickled daikon,S_macaroni and vegetables salad,S_homestyle banana milk,deluxe rice with Pyogo mushroom and chwinamul,kimchi soup,seasoned perilla leaf,seasoned salad with spring parsley,whole radish kimchi,4
steamed millet rice,fried tofu soy paste soup,scrambled eggs with soft crab,seasoned salad with garlic stem,radish kimchi cubes,S_pineapple,S_soy milk (200ml),steamed corn rice,mushroom beef stew,Chuncheon-style stir-fried chicken,seasoned winter cabbage,sweet napa cabbage watery kimchi,empty,S_hot chocolate,deluxe rice with Pyogo mushroom and chwinamul,kimchi soup,grilled Atka mackerel,seasoned salad with spring parsley,whole radish kimchi,5
steamed rice with black beans,mandu (dumpling) soup,braised sweet potato and quail eggs,stir-fried zucchini and dried shrimp,radish watery kimchi,S_Korean melon salad,S_milk (100ml),curried rice with chicken and potato + marinade sauce,assorted mushroom stew,vegetables croquette,seasoned salad with bellflower root,pickled cucumber,S_cheese soft crab porridge,S_rice-based beverage,steamed red bean rice (30),potato soup,seasoned oyster mushroom,empty,cucumber kimchi,1
steamed red bean rice (30),mandu (dumpling) soup,braised sweet potato and quail eggs,stir-fried zucchini and dried shrimp,radish watery kimchi,S_cheese soft crab porridge,S_rice-based beverage,steamed rice with black beans,assorted mushroom stew,empty,seasoned salad with bellflower root,cucumber kimchi,S_Korean melon salad,S_milk (100ml),curried rice with chicken and potato + marinade sauce,potato soup,vegetables croquette,seasoned oyster mushroom,pickled cucumber,2
steamed red bean rice,soup,braised sweet potato and quail eggs,seasoned salad with soft crab and vegetables in vinegar marinade,radish watery kimchi,S_boiled egg,S_rice-based beverage,steamed rice with black beans,beef winter mushroom soup,roasted smoked duck,seasoned salad with bellflower root,cucumber kimchi,S_Korean melon salad,S_milk (200ml),curried rice with chicken and potato + marinade sauce,potato soup,vegetables croquette,seasoned oyster mushroom,white kimchi,5
steamed sweet rice,mandu (dumpling) soft tofu stew,seasoned salad with sweet potato stem in soy paste,seasoned salad with spicy bean sprout,radish kimchi cubes,S_raisin potato bowl,S_rice punch,pork cabbage rice bowl,mandu (dumpling) chicken stew,stir-fried jukkumi and vegetables in soy sauce,steamed pork shank,whole radish kimchi,S_sweet potato shake,empty,steamed corn rice (30),oyster mushroom soup,sedum and black sesame salad,steamed aubergine in marinade sauce,summer radish watery kimchi,1
steamed corn rice (30),oyster mushroom soup,seasoned salad with spicy bean sprout,sedum and black sesame salad,summer radish watery kimchi,empty,S_sweet potato shake,pork cabbage rice bowl,mandu (dumpling) chicken stew,stir-fried jukkumi and vegetables in soy sauce,steamed aubergine in marinade sauce,radish kimchi cubes,S_raisin potato bowl,S_rice punch,steamed sweet rice,mandu (dumpling) soft tofu stew,steamed pork shank,seasoned salad with sweet potato stem in soy paste,whole radish kimchi,3
steamed corn rice (40),oyster mushroom soup,seasoned salad with spicy bean sprout,sedum and black sesame salad,summer radish watery kimchi,S_carrot stick,S_sweet potato shake,pork cabbage rice bowl,veggie soup,braised konjac and quail eggs in soy sauce,seasoned salad with cucumber and apple,radish kimchi cubes,S_raisin potato bowl,S_rice punch,steamed sweet rice,tofu bean sprout soup,steamed pork shank,seasoned salad with sweet potato stem in soy paste,whole radish kimchi,5
Japanese beef rice bowl (gyudon),tofu stew,steamed aubergine with marinade sauce,braised burdock slices and konjac,summer radish kimchi,S_sweet potato salad (mayonnaise),S_orange juice (sugar-free),steamed red bean rice (30),zucchini salted shrimp soup or stew,seasoned oyster mushroom,stir-fried zucchini,radish watery kimchi,S_cream sauce spaghetti,S_homestyle banana milk,steamed pearl barley rice,bean sprout beef stew,braised anchovy and sweet napa cabbage,daikon and pear salad,perilla leaf kimchi,1
