kor,eng
멸치피망볶음,Stir-fried anchovy and sweet pepper
멸치땅콩볶음,Stir-fried anchovy and peanut
멸치새송이버섯볶음,Stir-fried anchovy and saesongyi mushroom
멸치호두볶음,Stir-fried anchovy and crashed walnut
호두멸치볶음,Stir-fried anchovy and walnut
깻잎순멸치볶음,Stir-fried anchovy with perilla leaves
돼지고기우엉두루치기,Stir-fried and braised pork and burdock
실치볶음,Stir-fried mini anchovy
잔멸치볶음,Stir-fried baby anchovy
아몬드잔멸치볶음,Stir-fried baby anchovy and almond
잔멸치아몬드볶음,Stir-fried baby anchovy and crashed almond
쪽파잔멸치볶음,Stir-fried baby anchovy and shallot
유자청잔멸치볶음,Stir-fried baby anchovy in yuzu marinade
베이컨브로콜리볶음,Stir-fried bacon and broccoli
베이컨숙주볶음,Stir-fried bacon and green bean sprout
베이컨파프리카볶음,Stir-fried bacon and paprika
베이컨감자볶음,Stir-fried bacon and potato
베이컨감자채볶음,Stir-fried bacon and shredded potato
고구마베이컨볶음,Stir-fried bacon and sweet potato
베이컨채소볶음,Stir-fried bacon and vegetables
베이컨팽이버섯볶음,Stir-fried bacon and winter mushroom
베이컨애호박볶음,Stir-fried bacon and zucchini
소고기당면불고기,Stir-fried barbequed beef and glass noodles
소고기버섯불고기,Stir-fried barbequed beef and mushroom
불고기떡볶음,Stir-fried barbequed beef and rice cake
콩나물잡채,Stir-fried bean sprout and glass noodles
소고기볶음,Stir-fried beef
소고기가지볶음,Stir-fried beef and aubergine
소고기청경채볶음,Stir-fried beef and bokchoy
소고기브로콜리볶음,Stir-fried beef and broccoli
소고기우엉볶음,Stir-fried beef and burdock
소고기양배추볶음,Stir-fried beef and cabbage
소고기당근볶음,Stir-fried beef and carrot
소고기오이볶음,Stir-fried beef and cucumber
소고기마늘종볶음,Stir-fried beef and garlic stalk
소고기당면볶음,Stir-fried beef and glass noodles
소고기숙주볶음,Stir-fried beef and green bean sprout
소고기굴소스숙주볶음,Stir-fried beef and green bean sprouts with oyster sauce
소고기파채볶음,Stir-fried beef and green onion shreds
소고기부추볶음,Stir-fried beef and korean-leeks
소고기버섯볶음,Stir-fried beef and mushroom
소고기양파볶음,Stir-fried beef and onions
소고기파프리카볶음,Stir-fried beef and paprika
소고기피망볶음,Stir-fried beef and sweet pepper
소고기깻잎볶음,Stir-fried beef and perilla leaves
소고기파인애플볶음,Stir-fried beef and pineapple
소고기감자볶음,Stir-fried beef and potato
소고기무볶음,Stir-fried beef and radish
소고기가래떡볶음,Stir-fried beef and long rice cake
소고기떡볶음,Stir-fried beef and rice cake
소고기표고버섯볶음,Stir-fried beef and shiitake mushroom
소고기단호박볶음,Stir-fried beef and sweet pumpkin
소고기토마토볶음,Stir-fried beef and tomato
소고기채소볶음,Stir-fried beef and vegetables
소고기양송이볶음,Stir-fried beef and yangsongyi mushroom
차돌볶음,Stir-fried beef brisket
차돌양배추볶음,Stir-fried beef brisket and cabbage
차돌숙주볶음,Stir-fried beef brisket and green bean sprout
소고기폭찹,Stir-fried beef chop
소고기채굴소스볶음,Stir-fried beef in oyster sauce
소고기안심버섯볶음,Stir-fried beef tenderloin and mushroom
소고기굴소스볶음,Stir-fried beef with oyster sauce
도라지볶음,Stir-fried bellflower root
청경채볶음,Stir-fried bokchoy
순살돼지고기김치볶음,Stir-fried boneless pork and kimchi
고사리들깨볶음,Stir-fried bracken with perilla seeds
브로콜리볶음,Stir-fried broccoli
브로콜리달걀볶음,Stir-fried broccoli and eggs
브로콜리마늘볶음,Stir-fried broccoli and garlic
브로콜리버섯볶음,Stir-fried broccoli and mushroom
브로콜리견과류볶음,Stir-fried broccoli and nuts
브로콜리새우볶음,Stir-fried broccoli and shrimp
브로콜리맛살볶음,Stir-fried broccoli and soft crab
브로콜리채소볶음,Stir-fried broccoli and vegetables
브로콜리버터볶음,Stir-fried broccoli with butter
우엉볶음,Stir-fried burdock
우엉소고기볶음,Stir-fried burdock and beef
우엉잡채,Stir-fried burdock and glass noodles
양배추볶음,Stir-fried cabbage
어묵당근볶음,Stir-fried carrot and fried fish paste
당근숙주굴소스볶음,Stir-fried carrot and green bean sprout in oyster sauce
당근양파볶음,Stir-fried carrot and onion
당근고구마볶음,Stir-fried carrot and sweet potato
닭갈비,Stir-fried chicken
닭채볶음,Stir-fried shredded chicken meat
닭살청경채볶음,Stir-fried chicken and bokchoy
닭살브로콜리볶음,Stir-fried chicken and broccoli
닭살양배추볶음,Stir-fried chicken and cabbage
오이닭살참깨볶음,Stir-fried chicken and cucumber with sesame
닭살숙주볶음,Stir-fried chicken and green bean sprout
닭살버섯볶음,Stir-fried chicken and mushroom
닭살파프리카볶음,Stir-fried chicken(meat only) and paprika
닭살피망볶음,Stir-fried chicken and sweet pepper
닭피망볶음,Stir-fried chicken and paprika
닭살표고버섯볶음,Stir-fried chicken and pyogo mushroom
닭살채소볶음,Stir-fried chicken and vegetables
닭가슴살가지볶음,Stir-fried chicken breast and aubergine
닭가슴살브로콜리볶음,Stir-fried chicken breast and broccoli
닭가슴살양배추볶음,Stir-fried chicken breast and cabbage
닭가슴살부추볶음,Stir-fried chicken breast and chive
닭가슴살숙주볶음,Stir-fried chicken breast and green bean sprout
닭가슴살버섯볶음,Stir-fried chicken breast and mushroom
닭가슴살파프리카볶음,Stir-fried chicken breast and paprika
닭가슴살피망볶음,Stir-fried chicken breast and sweet pepper
닭가슴살깻잎볶음,Stir-fried chicken breast and perilla leaves
닭가슴살칠리떡볶음,Stir-fried chicken breast and rice cake in chilli sauce
닭가슴살굴소스볶음밥,Stir-fried chicken breast and rice in oyster sauce
닭가슴살고구마볶음,Stir-fried chicken breast and sweet potato
닭가슴살채소볶음,Stir-fried chicken breast and vegetables
닭가슴살채소볶음밥,Stir-fried chicken breast and vegetables with rice
닭가슴살미나리볶음,Stir-fried chicken breast and water dropwort
늙은호박닭가슴살볶음,Stir-fried chicken breast and old pumpkin
닭가슴살애호박볶음,Stir-fried chicken breast and young pumpkin
닭가슴살칠리소스볶음,Stir-fried chicken breast in chili sauce
카레닭가슴살볶음,Stir-fried chicken breast in curry
닭가슴살굴소스볶음,Stir-fried chicken breast in oyster sauce
닭가슴살삼색파프리카볶음,Stir-fried chicken breast with three-color paprika
닭다리살피망볶음,Stir-fried chicken drumsticks and paprika
닭다리살채소볶음,Stir-fried chicken drumsticks and vegetables
닭다리살굴소스볶음,Stir-fried chicken drumsticks in oyster sauce
짜장닭볶음,Stir-fried chicken in black soy
오리엔탈닭살볶음,Stir-fried chicken in oriental sauce
닭살굴소스볶음,Stir-fried chicken in oyster sauce
순살된장닭볶음,Stir-fried chicken in soy paste without bones
간장닭갈비,Stir-fried chicken in soy sauce
순살간장닭갈비,Stir-fried chicken in soy sauce without bones
닭살데리야끼볶음,Stir-fried chicken in teriyaki sauce
닭살스테이크볶음,Stir-fried chicken steak
닭안심사과볶음,Stir-fried chicken tenderloin and apple
닭안심배추볶음,Stir-fried chicken tenderloin and napa cabbage
치즈닭갈비,Stir-fried chicken with cheese
라조기,Stir-fried chicken with hot sauce
순살닭갈비,Stir-fried chicken without bones
부추달걀볶음,Stir-fried chive and eggs
부추잡채볶음,Stir-fried chive and glass noodles
취나물볶음,Stir-fried chwinamul
옥수수토마토소스볶음,Stir-fried corn in tomato sauce
맛살볶음,Stir-fried crab meat
맛살양파볶음,Stir-fried crab meat and onions
오이볶음,Stir-fried cucumber
오이소고기볶음,Stir-fried cucumber and beef
오이들깨볶음,Stir-fried cucumber and perilla seed
오징어볶음,Stir-fried cuttlefish
오징어볶음+소면,Stir-fried cuttlefish + plain noodles
오징어청경채볶음,Stir-fried cuttlefish and bokchoy
오징어버섯덮밥,Stir-fried cuttlefish and mushroom over rice
오징어떡볶음,Stir-fried cuttlefish and rice cake
오징어굴소스볶음밥,Stir-fried cuttlefish and rice in oyster sauce
오징어새우볶음,Stir-fried cuttlefish and shrimp
오징어채소볶음,Stir-fried cuttlefish and vegetables
오징어굴소스볶음,Stir-fried cuttlefish in oyster sauce
오징어간장볶음,Stir-fried cuttlefish in soy sauce
오징어두루치기,Stir-fried cuttlefish in spicy sauce
오징어덮밥,Stir-fried cuttlefish over rice
무나물볶음,Stir-fried daikon slices
건취나물볶음,Stir-fried dried chwinamul
건취나물간장볶음,Stir-fried dried chwinamul in soy sauce
오징어채볶음,Stir-fried dried cuttlefish
명엽채볶음,Stir-fried dried pollack strips
북어볶음,Stir-fried dried dried pollack
쥐어채볶음,Stir-fried dried file fish strips
명엽채아몬드볶음,Stir-fried dried pollack and almond
북어채볶음,Stir-fried dried pollack shreds
시래기볶음나물,Stir-fried dried radish leaves
건파래볶음,Stir-fried dried sea lettuce
건새우볶음,Stir-fried dried shrimp
양배추건새우볶음,Stir-fried dried shrimp and cabbage
건새우견과류볶음,Stir-fried dried shrimp and nuts
건새우애호박볶음,Stir-fried dried shrimp and zucchini
건새우애호박채소볶음,"Stir-fried dried shrimp, zucchini and vagetable"
뱅어포볶음,Stir-fried dried white bait
오리채소볶음,Stir-fried duck and vegetables
어묵잡채,Stir-fried fish cake and glass noodles
어묵버섯볶음,Stir-fried fish cake and mushroom
어묵볶음,Stir-fried fried fish paste
볼어묵볶음,Stir-fried fried fish paste bowl
마늘종잡채,Stir-fried garlic scapes and glass noodles
마늘종볶음,Stir-fried garlic stem
호두마늘종볶음,Stir-fried garlic stem and walnut
잡채,Stir-fried glass noodles
숙주나물볶음,Stir-fried green bean sprouts
쪽파소고기볶음,Stir-fried green onion and beef
곰취나물볶음,Stir-fried groundsel
주꾸미볶음,Stir-fried jukkumi and
주꾸미떡볶음,Stir-fried jukkumi and rice cake
주꾸미채소간장볶음,Stir-fried jukkumi and vegetables in soy sauce
김치볶음,Stir-fried kimchi
김치돼지고기볶음,Stir-fried kimchi and pork
새송이버섯새우살볶음,Stir-fried king oyster mushroom and shrimp
미트볼채소볶음,Stir-fried meat ball and vegetables
미트볼케첩볶음,Stir-fried meat ball in ketchup
미트볼데리야끼볶음,Stir-fried meat ball in teriyaki sauce
꼬마새송이버섯볶음,Stir-fried petite oyster mushroom
미니새송이버섯볶음,Stir-fried mini-oyster mushroom
미니새송이볶음,Stir-fried mini-oyster mushroom with young pumpkin
모듬버섯볶음,Stir-fried deluxe mushroom
버섯볶음,Stir-fried mushroom
버섯부추볶음,Stir-fried mushroom and chive
버섯달걀볶음,Stir-fried mushroom and eggs
버섯채소볶음,Stir-fried mushroom and vegetables
낙지볶음,Stir-fried octopus
낙지콩나물볶음,Stir-fried octopus and bean sprout
양배추낙지볶음,Stir-fried octopus and cabbage
낙지채소볶음,Stir-fried octopus and vegetables
매콤낙지채소볶음,Stir-fried octopus and vegetables in spicy sauce
양파달걀볶음,Stir-fried onion and eggs
느타리버섯볶음,Stir-fried oyster mushroom
느타리버섯당근볶음,Stir-fried oyster mushroom and carrot
느타리버섯양파볶음,Stir-fried oyster mushroom and onion
느타리파프리카볶음,Stir-fried oyster mushroom and paprika
느타리버섯들깨볶음,Stir-fried oyster mushroom and perilla seeds
느타리버섯채소볶음,Stir-fried oyster mushroom and vegetables
파프리카볶음,Stir-fried paprika
피망채죽순볶음,Stir-fried paprika and bamboo shoot
파프리카달걀볶음,Stir-fried paprika and eggs
어묵파프리카볶음,Stir-fried paprika and fried fish paste
어묵피망볶음,Stir-fried sweet pepper and fried fish cake
피망어묵볶음,Stir-fried sweet pepper and fried fish paste
파프리카잡채,Stir-fried paprika and glass noodles
피망잡채,Stir-fried sweet pepper and glass noodles
파프리카양파볶음,Stir-fried paprika and onion
깻잎순나물볶음,Stir-fried perilla leaf
깻잎들깨볶음,Stir-fried perilla leaf and perilla seed
돼지고기두루치기,Stir-fried pork in red paper paste
돼지고기볶음,Stir-fried pork
돼지고기가지볶음,Stir-fried pork and aubergine
돼지고기청경채볶음,Stir-fried pork and bokchoy
돼지고기브로콜리볶음,Stir-fried pork and broccoli
돼지고기우엉볶음,Stir-fried pork and burdock
돼지고기양배추볶음,Stir-fried pork and cabbage
돼지고기부추잡채,Stir-fried pork and chive with glass noodles
돼지고기오이볶음,Stir-fried pork and cucumber
돼지고기곤약볶음,Stir-fried pork and devil's tongue jelly
돼지고기어묵볶음,Stir-fried pork and fish cake
돼지고기마늘종볶음,Stir-fried pork and garlic stem
돼지고기숙주볶음,Stir-fried pork and green bean sprout
돼지고기김치볶음,Stir-fried pork and kimchi
돼지고기부추볶음,Stir-fried pork and korean-leeks
돼지고기우엉잡채,Stir-fried pork and lotus root with glass noodles
돼지고기버섯볶음,Stir-fried pork and mushroom
돼지고기양파볶음,Stir-fried pork and onion
돼지고기파프리카볶음,Stir-fried pork and paprika
돼지고기피망볶음,Stir-fried pork and sweet pepper
돼지고기깻잎볶음,Stir-fried pork and perilla leaves
돼지고기파인애플볶음,Stir-fried pork and pineapple
돼지고기볶음밥,Stir-fried pork and rice
돼지고기떡볶음,Stir-fried pork and rice cake
돼지고기굴소스볶음밥,Stir-fried pork and rice in oyster sauce
돼지고기채소볶음,Stir-fried pork and vegetables
돼지고기채소볶음밥,Stir-fried pork and vegetables with rice
돼지고기씻은김치볶음,Stir-fried pork and washed kimchi
돼지고기미나리볶음,Stir-fried pork and winter celery
돼지고기미나리잡채,Stir-fried pork and winter celery with glass noodles
돼지고기양송이볶음,Stir-fried pork and yangsongyi mushroom
삼겹살김치볶음,Stir-fried pork belly and kimchi
대패삼겹볶음,Stir-fried pork belly slices
대패삼겹파채볶음,Stir-fried pork belly slices and spring onion slices
파삼겹돼지불고기,Stir-fried pork belly with green onion
돼지고기양파불고기,Stir-fried pork bulgogi and onions
돼지고기폭찹,Stir-fried pork chops
돼지고기굴소스볶음,Stir-fried pork in oyster sauce
제육짜장볶음,Stir-fried pork in spicy black soy
돼지고기데리야끼소스볶음,Stir-fried pork in teriyaki sauce
돼지고기목살볶음,Stir-fried pork shoulder
등심피망볶음,Stir-fried pork sirloin and paprika
돼지고기안심피망볶음,Stir-fried pork tenderloin and bell peppers
돼지고기안심버섯볶음,Stir-fried pork tenderloin and mushroom
돼지고기안심깻잎볶음,Stir-fried pork tenderloin and perilla leaves
돼지고기안심채소볶음,Stir-fried pork tenderloin and vegetables
돼지고기잡채,Stir-fried pork with glass noodles
제육깻잎볶음,Stir-fried pork with perilla leaves
감자볶음,Stir-fried potato
감자채볶음,Stir-fried potato(Shredded)
감자당근채볶음,Stir-fried potato and carrot
감말랭이감자볶음,Stir-fried potato and dried persimmon(cubed)
곶감감자볶음,Stir-fried potato and dried persimmon
감자어묵볶음,Stir-fried potato and fried fish paste
감자햄볶음,Stir-fried potato and ham
감자채피망볶음,Stir-fried potato and paprika
시금치감자볶음,Stir-fried potato and spinach
감자채소볶음,Stir-fried potato and vegetables
늙은호박소고기볶음,Stir-fried pumpkin and beef
표고버섯볶음,Stir-fried pyogo mushroom
표고버섯당근볶음,Stir-fried pyogo mushroom and carrot
표고버섯간장볶음,Stir-fried pyogo mushroom in soy sauce
메추리알브로콜리볶음,Stir-fried quail egg and broccoli
메추리알피망볶음,Stir-fried quail egg and paprika
소고기굴소스볶음밥,Stir-fried rice beef in oyster sauce
해물굴소스볶음밥,Stir-fried rice in oyster sauce
볶음쌀국수,Stir-fried rice noodles
쌀국수볶음,Stir-fried rice noodles with pork
멸치볶음밥,Stir-fried rice with anchovy
가지채소볶음밥,Stir-fried rice with aubergine and vegetables
베이컨김치볶음밥,Stir-fried rice with bacon and kimchi
베이컨파래볶음밥,Stir-fried rice with bacon and sea lettuce
베이컨채소볶음밥,Stir-fried rice with bacon and vegetables
소고기파프리카볶음밥,Stir-fried rice with beef and paprika
브로콜리볶음밥,Stir-fried rice with broccoli
브로콜리채소볶음밥,Stir-fried rice with broccoli and vegetables
우엉채소볶음밥,Stir-fried rice with burdock and vegetables
깍두기치즈볶음밥,Stir-fried rice with cheese and diced radish kimchi
치즈채소볶음밥,Stir-fried rice with cheese and vegetables
방울토마토새우볶음밥,Stir-fried rice with cherry tomato and shrimp
닭가지볶음밥,Stir-fried rice with chicken and aubergine
닭살옥수수볶음밥,Stir-fried rice with chicken and corn
닭가슴살파프리카볶음밥,Stir-fried rice with chicken breast and paprika
닭살파프리카볶음밥,Stir-fried rice with chicken(meat only) and paprika
닭살채소볶음밥,Stir-fried rice with chicken and vegetables
닭살카레볶음밥,Stir-fried rice with chicken curry
오징어김치볶음밥,Stir-fried rice with cuttlefish and kimchi
깍두기볶음밥,Stir-fried rice with diced radish kimchi
달걀볶음밥,Stir-fried rice with eggs
연근달걀볶음밥,Stir-fried rice with eggs and lotus root
달걀버섯볶음밥,Stir-fried rice with eggs and mushroom
대파달걀볶음밥,Stir-fried rice with eggs and spring onion
달걀채소볶음밥,Stir-fried rice with eggs and vegetables
날치알김치볶음밥,Stir-fried rice with flying fish roe and kimchi
주꾸미부추볶음밥,Stir-fried rice with jukkumi and chive
주꾸미미나리볶음밥,Stir-fried rice with jukkumi and water celery
김치볶음밥,Stir-fried rice with kimchi
김치치즈볶음밥,Stir-fried rice with kimchi and cheese
김치어묵볶음밥,Stir-fried rice with kimchi and fried fish paste
김치햄볶음밥,Stir-fried rice with kimchi and ham
햄김치볶음밥,Stir-fried rice with kimchi and ham and vegetables
김치참치볶음밥,Stir-fried rice with kimchi and tuna
김치스팸치즈볶음밥,Stir-fried rice with kimchi cheese and grilled spam
깻잎볶음밥,Stir-fried rice with perilla leaves
파인애플볶음밥,Stir-fried rice with pineapple
파인애플새우볶음밥,Stir-fried rice with pineapple and shrimp
파인콘채소볶음밥,Stir-fried rice with pineapple corn and vegetables
돼지고기김치볶음밥,Stir-fried rice with pork and kimchi
해물볶음밥,Stir-fried rice with seafood
새우살볶음밥,Stir-fried rice with shrimp
새우부추볶음밥,Stir-fried rice with shrimp and chive
새우편마늘볶음밥,Stir-fried rice with shrimp and garlic flakes
새우파래볶음밥,Stir-fried rice with shrimp and sea lettuce
새우채소볶음밥,Stir-fried rice with shrimp and vegetables
새우카레볶음밥,Stir-fried rice with shrimp in curry
새우살굴소스볶음밥,Stir-fried rice with shrimp in oyster sauce
오리훈제볶음밥,Stir-fried rice with smoked duck
게살볶음밥,Stir-fried rice with soft crab
게살파인애플볶음밥,Stir-fried rice with soft crab and pineapple
연두부볶음밥,Stir-fried rice with soft tofu
시금치데리야끼볶음밥,Stir-fried rice with teriyaki spinach
두부베이컨볶음밥,Stir-fried rice with tofu and bacon
두부굴소스볶음밥,Stir-fried rice with tofu in oyster sauce
참치채소볶음밥,Stir-fried rice with tuna and vegetables
짜장참치볶음밥,Stir-fried rice with tuna in black soy
채소볶음밥,Stir-fried rice with vegetables
햄채소볶음밥,Stir-fried rice with vegetables and ham
씻은김치볶음밥,Stir-fried rice with washed kimchi
백김치볶음밥,Stir-fried rice with white kimchi
햄채소볶음,Stir-fried rvegetables and ham
새송이버섯볶음,Stir-fried saesongyi mushroom
새송이버섯시금치볶음,Stir-fried saesongyi mushroom and spinach
김자반볶음,Stir-fried salted seaweed
비엔나소시지볶음,Stir-fried sausage
비엔나잔멸치볶음,Stir-fried sausage and baby anchovy
비엔나도라지볶음,Stir-fried sausage and bellflower root
소시지브로콜리볶음,Stir-fried sausage and broccoli
비엔나피망볶음,Stir-fried vienna sausage and sweet pepper
소시지파프리카볶음,Stir-fried sausage and paprika
소시지피망볶음,Stir-fried sausage and sweet pepper
비엔나토마토볶음,Stir-fried sausage and tomato
비엔나채소볶음,Stir-fried vienna sausage and vegetables
소시지채소볶음,Stir-fried sausage and vegetables
소시지케첩볶음,Stir-fried sausage in ketchup
유산슬,Stir-fried seafood and vegetables
해물볶음우동,Stir-fried seafood udon (white wheat noodles)
미역볶음,Stir-fried seaweed
다시마북어볶음,Stir-fried brown kelp and dried pollack
해초볶음,Stir-fried seaweed platter
미역줄기볶음,Stir-fried seaweed stem
미역줄기당근볶음,Stir-fried seaweed stem and carrot
미역줄기고추볶음,Stir-fried seaweed stem and chilli pepper
맛살미역줄기볶음,Stir-fried seaweed stem and soft crab
미역줄기채소볶음,Stir-fried seaweed stem and vegetables
감자채파프리카볶음,Stir-fried shredded potato and paprika
새우살볶음,Stir-fried shrimp
새우청경채볶음,Stir-fried shrimp and bokchoy
당근새우짜장볶음,Stir-fried shrimp and carrot in black soy
새우파프리카볶음,Stir-fried shrimp and paprika
새우살채소볶음,Stir-fried shrimp and vegetables(oriental style)
새우채소볶음,Stir-fried shrimp and vegetables
새우살호박볶음,Stir-fried shrimp and zucchini
새우살칠리소스볶음,Stir-fried shrimp in chilli sauce
새우살크림소스볶음,Stir-fried shrimp in cream sauce
새우살케첩볶음,Stir-fried shrimp in ketchup
새우굴소스볶음,Stir-fried shrimp in oyster sauce
훈제오리볶음,Stir-fried smoked duck
훈제오리볶음+무쌈,Stir-fried smoked duck + daikon wraps
훈제오리숙주볶음,Stir-fried smoked duck and green bean sprout
훈제오리양파볶음,Stir-fried smoked duck and onion
훈제오리단호박볶음,Stir-fried smoked duck and sweet pumpkin
훈제오리채소볶음,Stir-fried smoked duck and vegetables
훈제오리굴소스볶음,Stir-fried smoked duck in oyster sauce
훈제오리볶음밥,Stir-fried smoked duck with rice
맛살당근볶음,Stir-fried soft crab and carrot
맛살어묵볶음,Stir-fried soft crab and fried fish cake
어묵맛살볶음,Stir-fried soft crab and fried fish paste
게맛살파프리카볶음,Stir-fried soft crab and paprika
게맛살피망채볶음,Stir-fried soft crab and sweet pepper
맛살채소볶음,Stir-fried crad sticks and vegetables
크래미채소볶음,Stir-fried soft crab and vegetables
게맛살팽이버섯볶음,Stir-fried soft crab and winter mushroom
매콤오징어볶음,Stir-fried spicy cuttlefish
아몬드진미채볶음,Stir-fried spicy dried cuttlefish and almond
매콤어묵볶음,Stir-fried spicy fried fish paste
매콤주꾸미볶음,Stir-fried spicy jukkumi
제육볶음,Stir-fried spicy pork
제육불고기,Stir-fried spicy bulgogi(pork)
목이버섯실파제육볶음,Stir-fried spicy pork with black mushroom and spring onion
제육숙주불고기,Stir-fried spicy pork with green bean sprout
참나물볶음,Stir-fried spring parsley
사각어묵볶음,Stir-fried square-shape fried fish paste
열무볶음,Stir-fried summer radish
고구마줄기볶음,Stir-fried sweet potato stem
곤드레나물볶음,Stir-fried thistle
삼색감자채볶음,Stir-fried three-color potato
두부두루치기,Stir-fried tofu
두부잡채,Stir-fried tofu and glass noodles
두부김치볶음,Stir-fried tofu and kimchi
두부채소볶음,Stir-fried tofu and vegetables
두부채소굴소스볶음,Stir-fried tofu and vegetables in oyster sauce
토마토달걀볶음,Stir-fried tomato and eggs
참치볶음,Stir-fried tuna
참치김치볶음,Stir-fried tuna and kimchi
참치김치볶음밥,Stir-fried tuna and kimchi with rice
참치양파볶음,Stir-fried tuna and onion
참치파프리카볶음,Stir-fried tuna and paprika
참치피망볶음,Stir-fried tuna and sweet pepper
참치감자볶음,Stir-fried tuna and potato
참치채소볶음,Stir-fried tuna and vegetables
참치애호박볶음,Stir-fried tuna and zucchini
안매운참치김치볶음,Stir-fried tuna kimchi (mild)
볶음우동,Stir-fried udon (white wheat noodles)
카레볶음우동,Stir-fried udon (white wheat noodles) in curry
해물우동볶음,Stir-fried udon (white wheat noodles) with seafood
해물우동숙주볶음,Stir-fried udon (white wheat noodles) with seafood and green bean sprout
소고기볶음우동,Stir-fried udon with beef
달걀채소볶음,Stir-fried vegetables and eggs
어묵채소볶음,Stir-fried vegetables and fried fish paste
너비아니채소볶음,Stir-fried vegetables and neobiani
해물굴소스볶음,Stir-fried vegetables in oyster sauce
주꾸미채소볶음,Stir-fried webfoot octopus and vegetables
팽이버섯볶음,Stir-fried winter mushroom
팽이버섯잡채,Stir-fried winter mushroom and glass noodles
팽이맛살볶음,Stir-fried winter mushroom and soft crab
양송이버섯볶음,Stir-fried button mushroom(+sweet pepper)
양송이볶음,Stir-fried button mushroom 
들깨열무볶음,Stir-fried young radish with perilla seeds
애호박볶음,Stir-fried zucchini
애호박당근볶음,Stir-fried zucchini and carrot
애호박건새우볶음,Stir-fried zucchini and dried shrimp
애호박버섯볶음,Stir-fried zucchini and mushroom
애호박양파볶음,Stir-fried zucchini and onion
애호박새우젓볶음,Stir-fried zucchini and salted shrimp
호박채소볶음,Stir-fried zucchini and vegetables
애호박콩가루볶음,Stir-fried zucchini with bean powder
수제비,Sujebi
수제비국,Sujebi soup
수제비샐러드,Sujebi salad
단호박수제비국,Sujebi soup with sweet pumpkin
수제비아욱국,Sujebi with curled mallow
들깨수제비,Sujebi with perilla seeds
들깨수제비국,Sujebi with perilla seeds soup
감자수제비,Sujebi with potato
감자수제비국,Sujebi with potato soup
감자수제비국(조개x),Sujebi with potato (without clam)
호박감자수제비국,Sujebi with pumpkin and potato
해물수제비,Sujebi with seafood
매생이수제비,Sujebi with seaweed fulvescens
단호박수제비,Sujebi with sweet pumpkin
호박감자수제비,Sujebi with zucchini and potato
열무나물,Summer radish
열무맑은국,Summer radish soup
열무된장국,Summer radish soy paste soup
가지탕수,Sweet and sour aubergine
표고버섯탕수,Sweet and sour shiitake mushroom
단배추된장국,Sweet napa cabbage soy paste soup
단배추물김치,Sweet napa cabbage watery kimchi
고구마연근맛탕,Sweet potato and lotus root mattang
고구마범벅,Sweet potato mash
견과류고구마범벅,Sweet potato mash with nuts
고구마맛탕,Sweet potato mattang
유자고구마맛탕,Sweet potato mattang in yuzu sauce
검은깨고구마맛탕,Sweet potato mattang with black sesame
고구마샐러드,Sweet potato salad
고구마샐러드(마요네즈),Sweet potato salad (mayonnaise)
으깬견과류고구마샐러드(요거트),Sweet potato salad with crushed nuts (yoghurt)
고구마순나물,Sweet potato stem with herbs
고구마스틱,Sweet potato stick
단호박무국,Sweet pumpkin daikon soup
단호박영양밥,Sweet pumpkin deluxe rice
단호박꿀찜,Sweet pumpkin honey steam
단호박김치국,Sweet pumpkin kimchi soup
단호박견과류샐러드,Sweet pumpkin nuts salad
단호박샐러드,Sweet pumpkin salad
단호박새우젓국,Sweet pumpkin salted shrimp soup
단호박맑은국,Sweet pumpkin soup
단호박된장국,Sweet pumpkin soy paste soup
단호박고구마샐러드,Sweet pumpkin sweet potato salad
석박지,Sweet radish kimchi
찹쌀옹심이국,Sweet rice dough soup
토란국,Taro soup
돼지고기데리야끼조림,Teriyaki sauce-braised pork
곤드레주먹밥+양념장,Thistle rice ball + marinade sauce
삼색달걀말이,Three-color rolled omelet
삼색채소달걀말이,Three-color rolled vegetable omelet
삼색나물(고사리),Three-color seasoned vegetables (bracken)
삼색소보로덮밥,Three-color soboro rice bowl
삼색달걀찜,Three-color steamed eggs
두부콩나물국,Tofu bean sprout soup
두부대합탕국,Tofu clam soup
두부탕수,Tofu dumpling
과일소스두부탕수,Tofu dumpling in fruit sauce
두부달걀국,Tofu egg soup
두부함박스테이크,Tofu hamburger steak
두부김치국,Tofu kimchi soup
두부김치찌개,Tofu kimchi stew
두부곤약탕국,Tofu konjac soup
두부미소장국,Tofu miso paste soup
두부강정,Tofu nuggets
두부감자국,Tofu potato soup
두부냉채,Tofu salad
유자청두부샐러드,Tofu salad in yuzu marinade
두부새우젓국,Tofu salted shrimp soup
두부젓국찌개,Tofu salted shrimp soup or stew
두부미역국,Tofu seaweed soup
두부미역장국,Tofu seaweed soy paste soup
두부맑은국,Tofu soup(clear)
두부탕국,Tofu soup
두부된장국,Tofu soy paste soup
두부맑은된장국,Tofu soy paste soup(clear)
두부장국,Tofu miso soup
두부된장찌개,Tofu soy paste stew
두부스테이크,Tofu steak
두부전골,Tofu shabu-shabu
두부찌개,Tofu stew
두부참치샐러드,Tofu tuna salad
두부참치샐러드(유자청드레싱),Tofu tuna salad (yuzu dressing)
두부열무나물,Tofu with summer radish
두부애호박국,Tofu zucchini soup
토마토어린잎샐러드,Tomato and sprout salad
토마토채소샐러드,Tomato and vegetable salad
토마토카프레제,Tomato caprese salad
